BosPLMed100	5.   Boston, MA,  Boston Public Library: med. 100 (1527) [olim Kraus Cat. 22, no. 21]    [1 records] 	Boston, MA
BosPLMed124	6.   Boston, MA,  Boston Public Library: med. 124 (1546) [olim Sowter, Sotheby Sale, May 20, 1947, Lot 371; olim            Le Neve, Horae]    [1 records] 	Boston, MA
BrechinFordun	1.   Brechin Castle,  Earl of Dalhousie: Fordun’s Chronicle, on deposit at Edinburgh, Scottish Record Office, MS            GD5/26/48   	Brechin Castle
BrechinWintoun	2.   Brechin Castle,  Earl of Dalhousie: Wintoun’s Chronicle               	Brechin Castle
BrechinSTC3215	3.   Brechin Castle,  Earl of Dalhousie: John Barbour, Buik of Alexander the grit, [Edinburgh, Arbuthnet, c. 1580] (STC            321.5)    [1 records] 	Brechin Castle
BristolAS2	1.   Bristol,  All Saints Church, Bristol: MS 2    [1 records] 	Bristol
BristolAvon	2.   Bristol,  Avon County Library: MS 10    [1 records] 	Bristol
BristolClifton	3.   Bristol,  Clifton College: Norton’s Ordinal of Alchemy                [1 records] 	Bristol
BrusselsIV231	1.   Brussels,  Bibliothèque Royale, Belgium: IV.231 [Horae Sarum]    [2 records] 	Brussels
Brussels2054	2.   Brussels,  Bibliothèque Royale, Belgium: 2054    [1 records] 	Brussels
Brussels4628	3.   Brussels,  Bibliothèque Royale, Belgium: 7396 (Van den Gheyn Cat. 4628)    [1 records] 	Brussels
ButeConf	1.   Bute,  Marquess of Bute:                olimBute, now privately owned   	Bute
Buteolim	2.   Bute,  Marquess of Bute:                olimBute, Christie’s Sale 13 June 1983   	Bute
HarEng515	1.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 515 [olim Halliwell; Sotheby’s Sale, 1920, Lot 515; Hope Allen            Addit. MS. IV]    [2 records] 	Cambridge MA
HarEng530	2.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 530    [9 records] 	Cambridge MA
HarEng532	3.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 532F   	Cambridge MA
HarEng587	4.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 587    [4 records] 	Cambridge MA
HarEng590	5.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 590   	Cambridge MA
HarEng752	6.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 752 [olim *27282. 67.10; priorAshburnham 131]    [3 records] 	Cambridge MA
HarEng766	7.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 766    [39 records] 	Cambridge MA
HarEng1031	8.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 1031    [1 records] 	Cambridge MA
HarEng1032	9.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 1032    [1 records] 	Cambridge MA
HarEng1054	10.   Cambridge MA,  Harvard University, Houghton Library,: Eng. 1054    [5 records] 	Cambridge MA
HarLat394	11.   Cambridge MA,  Harvard University, Houghton Library,: Lat. 394    [3 records] 	Cambridge MA
HarRich22	12.   Cambridge MA,  Harvard University, Houghton Library,: Richardson 22    [5 records] 	Cambridge MA
HarRich35	13.   Cambridge MA,  Harvard University, Houghton Library,: Richardson 35    [4 records] 	Cambridge MA
HarRich44	14.   Cambridge MA,  Harvard University, Houghton Library,: Richardson 44    [1 records] 	Cambridge MA
HarTYP193	15.   Cambridge MA,  Harvard University, Houghton Library,: TYP 193    [4 records] 	Cambridge MA
HarLaw6	16.   Cambridge MA,  Harvard University, Law School Library: MS 6    [1 records] 	Cambridge MA
HarLaw58	17.   Cambridge MA,  Harvard University, Law School Library: MS 58    [1 records] 	Cambridge MA
HarWid1	18.   Cambridge MA,  Harvard University, Widener Library: MS 1 [olim Brough Hall]    [1 records] 	Cambridge MA
Har25258	19.   Cambridge MA,  Harvard University: H.C.L. 25258.27.5    [1 records] 	Cambridge MA
CULAdd707	1.   Cambridge UK,  Cambridge University Library: Addit. 707 (fragment)    [1 records] 	Cambridge UK
