City,latitude,longitude,Shelfmark,MS,Fake date
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf545,"Cambridge UK,  Cambridge University Library: Ff.5.45",1345-7-10
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf547,"Cambridge UK,  Cambridge University Library: Ff.5.47",1318-2-7
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf548,"Cambridge UK,  Cambridge University Library: Ff.5.48",1320-6-27
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf62,"Cambridge UK,  Cambridge University Library: Ff.6.2",1302-9-27
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf68,"Cambridge UK,  Cambridge University Library: Ff.6.8",1336-11-5
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf615,"Cambridge UK,  Cambridge University Library: Ff.6.15",1370-8-18
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf621,"Cambridge UK,  Cambridge University Library: Ff.6.21",1303-11-7
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf631,"Cambridge UK,  Cambridge University Library: Ff.6.31",1352-7-14
Cambridge UK,52.205622281043695,0.11167126337306933,CULGg11,"Cambridge UK,  Cambridge University Library: Gg.1.1",1325-6-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULGg112,"Cambridge UK,  Cambridge University Library: Gg.1.12",1363-2-3
Cambridge UK,52.205622281043695,0.11167126337306933,CULGg17,"Cambridge UK,  Cambridge University Library: Gg.1.7",1378-7-9
Cambridge UK,52.205622281043695,0.11167126337306933,CULGg114,"Cambridge UK,  Cambridge University Library: Gg.1.14",1383-3-20
Cambridge UK,52.205622281043695,0.11167126337306933,CULGg132,"Cambridge UK,  Cambridge University Library: Gg.1.32",1356-4-11
Cambridge UK,52.205622281043695,0.11167126337306933,CULGg26,"Cambridge UK,  Cambridge University Library: Gg.2.6 and Gg.2.6A(c)",1395-5-16
Cambridge UK,52.205622281043695,0.11167126337306933,CULGg28,"Cambridge UK,  Cambridge University Library: Gg.2.8",1380-11-6
