ID,Label,Type
Domitian XI,Domitian XI,Book
Tiberius B1,Tiberius B1,Book
Otho BXI,Otho BXI,Book
Nero CIX,Nero CIX,Book
Tiberius EV,Tiberius EV,Book
Otho CVIII,Otho CVIII,Book
Vitellius EVI,Vitellius EVI,Book
Vespasian AVIII,Vespasian AVIII,Book
Titus EXV,Titus EXV,Book
Galba CIV,Galba CIV,Book
Titus BX,Titus BX,Book
Galba CX,Galba CX,Book
Vespasian BXXIII,Vespasian BXXIII,Book
Vespasian AXIV,Vespasian AXIV,Book
Nero BVIII,Nero BVIII,Book
Faustina EVII,Faustina EVII,Book
Otho BVI,Otho BVI,Book
Caligula CIX,Caligula CIX,Book
Caligula DVIII,Caligula DVIII,Book
Titus AXXVII,Titus AXXVII,Book
Julius DII,Julius DII,Book
Vespasian AXIII,Vespasian AXIII,Book
Titus EII,Titus EII,Book
Julius EIII,Julius EIII,Book
Tiberius BXIII,Tiberius BXIII,Book
Julius DVI,Julius DVI,Book
Cleopatra FIII,Cleopatra FIII,Book
Caligula EIV,Caligula EIV,Book
Faustina BV,Faustina BV,Book
Vespasian DVI,Vespasian DVI,Book
Claudius DVII,Claudius DVII,Book
Nero CV,Nero CV,Book
Augustus I.II32,Augustus I.II32,Book
Galba BIII,Galba BIII,Book
Caligula DX,Caligula DX,Book
Otho EX,Otho EX,Book
Caligula EIII,Caligula EIII,Book
Cleopatra DV,Cleopatra DV,Book
Titus DII,Titus DII,Book
Cleopatra CVIII,Cleopatra CVIII,Book
Vitellius EXVIII,Vitellius EXVIII,Book
Caligula EV,Caligula EV,Book
Galba BII,Galba BII,Book
Vespasian FIX,Vespasian FIX,Book
Galba DV,Galba DV,Book
Vitellius CVI,Vitellius CVI,Book
Nero DVI,Nero DVI,Book
Cleopatra CII,Cleopatra CII,Book
Vitellius BVIII,Vitellius BVIII,Book
Vitellius FXII,Vitellius FXII,Book
Galba CI,Galba CI,Book
Claudius AXI,Claudius AXI,Book
Claudius EVIII,Claudius EVIII,Book
Galba AXVIII,Galba AXVIII,Book
Cleopatra CI,Cleopatra CI,Book
Nero CVIII,Nero CVIII,Book
Faustina BVII,Faustina BVII,Book
Titus CX,Titus CX,Book
Vespasian DX,Vespasian DX,Book
Titus BI,Titus BI,Book
Faustina BIV,Faustina BIV,Book
Titus EVI,Titus EVI,Book
Titus BII,Titus BII,Book
Titus BXIII,Titus BXIII,Book
Tiberius AX,Tiberius AX,Book
Vitellius CXVII,Vitellius CXVII,Book
Faustina BIII,Faustina BIII,Book
Nero EI,Nero EI,Book
Otho BV,Otho BV,Book
Galba DVII,Galba DVII,Book
Otho EVII,Otho EVII,Book
Nero EV,Nero EV,Book
Domitian I,Domitian I,Book
Titus DXII,Titus DXII,Book
Domitian XVIII,Domitian XVIII,Book
Caligula AIII,Caligula AIII,Book
Claudius BVII,Claudius BVII,Book
Galba BIX,Galba BIX,Book
Vitellius DII,Vitellius DII,Book
Vitellius BXXI,Vitellius BXXI,Book
Vitellius CIX,Vitellius CIX,Book
Vespasian FVII,Vespasian FVII,Book
Galba DVIII,Galba DVIII,Book
Galba AIX,Galba AIX,Book
Caligula DVI,Caligula DVI,Book
Caligula DI,Caligula DI,Book
Galba BVII,Galba BVII,Book
Julius CVI,Julius CVI,Book
Nero DIII,Nero DIII,Book
Galba AVIII,Galba AVIII,Book
Tiberius AV,Tiberius AV,Book
Vespasian DIV,Vespasian DIV,Book
Claudius CIX,Claudius CIX,Book
Galba CXI,Galba CXI,Book
Galba BX,Galba BX,Book
Caligula DVII,Caligula DVII,Book
Cambridge University Library Additional MS 3578,Cambridge University Library Additional MS 3578,Book
Julius FXI,Julius FXI,Book
Titus BVI,Titus BVI,Book
Galba AI,Galba AI,Book
Claudius CIV,Claudius CIV,Book
Vitellius AII,Vitellius AII,Book
Vespasian AVI,Vespasian AVI,Book
Vitellius EVIII,Vitellius EVIII,Book
Claudius BV,Claudius BV,Book
London British Library Harley MS 988,London British Library Harley MS 988,Book
Galba BI,Galba BI,Book
Otho BIII,Otho BIII,Book
Titus EX,Titus EX,Book
Cleopatra CVII,Cleopatra CVII,Book
Titus FI,Titus FI,Book
Titus DI,Titus DI,Book
Julius AII,Julius AII,Book
Caligula AVIII,Caligula AVIII,Book
Augustus I.II34,Augustus I.II34,Book
Tiberius EI,Tiberius EI,Book
Otho CVII,Otho CVII,Book
Nero AXV,Nero AXV,Book
Vitellius AVIII,Vitellius AVIII,Book
Julius DIII,Julius DIII,Book
Nero AV,Nero AV,Book
Cleopatra BXIII,Cleopatra BXIII,Book
Cleopatra DIX,Cleopatra DIX,Book
Galba DI,Galba DI,Book
Nero AVIII,Nero AVIII,Book
Domitian V,Domitian V,Book
Faustina CIII,Faustina CIII,Book
Tiberius BX,Tiberius BX,Book
Claudius EV,Claudius EV,Book
Vespasian EII,Vespasian EII,Book
Otho AXIV,Otho AXIV,Book
Titus CVI,Titus CVI,Book
Claudius AIV,Claudius AIV,Book
Julius BXIII,Julius BXIII,Book
Julius FX,Julius FX,Book
Tiberius CVI,Tiberius CVI,Book
Julius CIII,Julius CIII,Book
Galba DIV,Galba DIV,Book
Cleopatra BIII,Cleopatra BIII,Book
Caligula AIV,Caligula AIV,Book
Tiberius AXV,Tiberius AXV,Book
Vitellius BV,Vitellius BV,Book
Titus AXXIII,Titus AXXIII,Book
Vespasian DXVIII,Vespasian DXVIII,Book
Vitellius AXII,Vitellius AXII,Book
Tiberius BIV,Tiberius BIV,Book
Vitellius FV,Vitellius FV,Book
Vitellius AIV,Vitellius AIV,Book
Vitellius EV,Vitellius EV,Book
